#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
174,San Marino,"23,536",,122,,"23,276",,138,4,"690,509","3,579","157,634","4,624,732","34,085",Europe,1,279,0,,,"4,049"
175,Timor-Leste,"23,418",,138,,"23,102",,178,,"17,101",101,"278,529","203,391","1,369,429",Asia,58,"9,923",5,,,130
176,Burkina Faso,"22,056",,396,,"21,596",,64,,998,18,"248,995","11,265","22,102,838",Africa,"1,002","55,815",89,,,3
177,Liechtenstein,"21,395",,89,,"21,281",,25,,"557,350","2,318","112,457","2,929,559","38,387",Europe,2,431,0,,,651
178,Gibraltar,"20,420",,111,,"16,579",,"3,730",,"605,863","3,293","534,283","15,852,213","33,704",Europe,2,304,0,,,"110,669"
179,Grenada,"19,680",,238,,"19,358",,84,4,"173,430","2,097","182,981","1,612,523","113,475",North America,6,477,1,,,740
180,Bermuda,"18,799",,160,,"18,632",,7,,"303,508","2,583","1,027,337","16,586,270","61,939",North America,3,387,0,,,113
181,Nicaragua,"18,491",,225,,"4,225",,"14,041",,"2,728",33,,,"6,779,100",North America,367,"30,129",,,,"2,071"
182,South Sudan,"18,368",,138,,"18,115",,115,1,"1,581",12,"410,280","35,313","11,618,511",Africa,633,"84,192",28,,,10
183,Tajikistan,"17,786",,125,,"17,264",,397,,"1,786",13,,,"9,957,464",Asia,560,"79,660",,,,40
184,Equatorial Guinea,"17,229",,183,,"16,907",,139,5,"11,512",122,"365,697","244,342","1,496,662",Africa,87,"8,178",4,,,93
185,Tonga,"16,801",,13,,"15,638",,"1,150",,"155,927",121,"535,009","4,965,327","107,749",Australia/Oceania,6,"8,288",0,,,"10,673"
186,Samoa,"16,607",,29,,"1,605",,"14,973",,"82,116",143,"187,397","926,612","202,239",Australia/Oceania,12,"6,974",1,,,"74,036"
187,Monaco,"16,106",,67,,"15,992",,47,4,"404,846","1,684","78,646","1,976,875","39,783",Europe,2,594,1,,,"1,181"
188,Dominica,"15,760",,74,,"15,673",,13,,"217,848","1,023","229,344","3,170,187","72,344",North America,5,978,0,,,180
189,Djibouti,"15,690",,189,,"15,427",,74,,"15,441",186,"305,941","301,094","1,016,097",Africa,65,"5,376",3,,,73
190,Marshall Islands,"15,598",,17,,"15,528",,53,,"259,720",283,,,"60,057",Australia/Oceania,4,"3,533",,,,882
191,CAR,"15,368",,113,,"15,200",,55,2,"3,063",23,"81,294","16,205","5,016,678",Africa,326,"44,395",62,,,11
192,Gambia,"12,586",,372,,"12,189",,25,,"4,919",145,"155,686","60,851","2,558,482",Africa,203,"6,878",16,,,10
193,Saint Martin,"12,257",,63,,"1,399",,"10,795",7,"308,507","1,586","112,382","2,828,643","39,730",North America,3,631,0,,,"271,709"
194,Vanuatu,"12,014",,14,,"11,976",,24,,"37,330",44,"24,976","77,606","321,832",Australia/Oceania,27,"22,988",13,,,75
195,Greenland,"11,971",,21,,"2,761",,"9,189",4,"210,117",369,"164,926","2,894,810","56,973",North America,5,"2,713",0,,,"161,287"
196,Yemen,"11,945",,"2,159",,"9,124",,662,23,383,69,"329,592","10,579","31,154,867",Asia,"2,608","14,430",95,,,21
197,Caribbean Netherlands,"11,668",,38,,"10,476",,"1,154",,"437,873","1,426","30,126","1,130,559","26,647",North America,2,701,1,,,"43,307"
198,Sint Maarten,"11,016",,91,,"10,905",,20,N/A,"250,557","2,070","62,056","1,411,454","43,966",North America,4,483,1,,,455
199,Eritrea,"10,189",,103,,"10,086",,0,,"2,782",28,"23,693","6,470","3,662,244",Africa,359,"35,556",155,,,
200,Niger,"9,931",,312,,"8,890",,729,1,381,12,"254,538","9,759","26,083,660",Africa,"2,626","83,601",102,,,28
201,St. Vincent Grenadines,"9,589",,123,,"9,466",,0,,"85,961","1,103","113,703","1,019,292","111,551",North America,12,907,1,,,
202,Antigua and Barbuda,"9,106",,146,,"8,954",,6,1,"91,509","1,467","18,901","189,943","99,509",North America,11,682,5,,,60
203,Comoros,"8,998",,161,,"8,837",,0,,"9,916",177,,,"907,419",Africa,101,"5,636",,,,
204,Guinea-Bissau,"8,953",,176,,"8,660",,117,6,"4,339",85,"145,231","70,385","2,063,367",Africa,230,"11,724",14,,,57
205,Liberia,"8,065",,294,,"7,768",,3,2,"1,520",55,"139,824","26,356","5,305,117",Africa,658,"18,045",38,,,0.6
206,Sierra Leone,"7,760",,126,,N/A,N/A,N/A,,934,15,"259,958","31,296","8,306,436",Africa,"1,070","65,924",32,,,330
207,Chad,"7,675",,194,,"4,874",,"2,607",,441,11,"191,341","10,988","17,413,580",Africa,"2,269","89,761",91,,,150
208,British Virgin Islands,"7,305",,64,,N/A,N/A,N/A,,"238,757","2,092","107,339","3,508,269","30,596",North America,4,478,0,,,392
209,Cook Islands,"7,025",,2,,"7,012",,11,,"399,806",114,"19,690","1,120,596","17,571",Australia/Oceania,3,"8,786",1,,,626
210,Saint Kitts and Nevis,"6,596",,46,,"6,546",,4,,"122,441",854,"126,927","2,356,129","53,871",North America,8,"1,171",0,,,74
211,Turks and Caicos,"6,551",,38,,"6,491",,22,4,"164,842",956,"611,527","15,387,811","39,741",North America,6,"1,046",0,,,554
212,Sao Tome and Principe,"6,281",,77,,"6,203",,1,,"27,587",338,"29,036","127,530","227,679",Africa,36,"2,957",8,,,4
213,Palau,"5,988",,9,,"5,976",,3,,"328,416",494,"69,136","3,791,806","18,233",Australia/Oceania,3,"2,026",0,,,165
214,St. Barth,"5,439",,6,,N/A,N/A,N/A,,"546,908",603,"78,646","7,908,095","9,945",North America,2,"1,658",0,,,"499,849"
215,Nauru,"5,247",,1,,"5,075",,171,,"481,244",92,"20,509","1,881,042","10,903",Australia/Oceania,2,"10,903",1,,,"15,684"
216,Kiribati,"5,013",,18,,"2,703",,"2,292",3,"40,618",146,,,"123,419",Australia/Oceania,25,"6,857",,,,"18,571"
217,Anguilla,"3,904",,12,,"3,879",,13,4,"256,336",788,"51,382","3,373,736","15,230",North America,4,"1,269",0,,,854
218,Macao,"3,513",,121,,"3,378",,14,,"5,263",181,"7,850","11,760","667,490",Asia,190,"5,516",85,,,21
219,Saint Pierre Miquelon,"3,452",,2,,"2,449",,"1,001",1,"599,410",347,"25,400","4,410,488","5,759",North America,2,"2,880",0,,,"173,815"
220,Wallis and Futuna,"3,427",,7,,438,,"2,982",,"312,056",637,"20,508","1,867,419","10,982",Australia/Oceania,3,"1,569",1,,,"271,535"
221,Tuvalu,"2,805",,,,,,"2,805",,"232,471",,,,"12,066",Australia/Oceania,4,,,,,"232,471"
222,Saint Helena,"2,166",,,,2,,"2,164",,"354,211",,,,"6,115",Africa,3,,,,,"353,884"
223,Falkland Islands,"1,930",,,,"1,930",,0,,"545,352",,"8,632","2,439,107","3,539",South America,2,,0,,,
224,Montserrat,"1,403",,8,,"1,376",,19,,"282,578","1,611","17,762","3,577,442","4,965",North America,4,621,0,,,"3,827"
225,Niue,783,,,,752,,31,,"482,737",,,,"1,622",Australia/Oceania,2,,,,,"19,112"
226,Diamond Princess,712,,13,,699,,0,,,,,,,,,,,,,
227,Vatican City,29,,,,29,,0,,"36,295",,,,799,Europe,28,,,,,
228,Western Sahara,10,,1,,9,,0,,16,2,,,"626,161",Africa,"62,616","626,161",,,,
229,MS Zaandam,9,,2,,7,,0,,,,,,,,,,,,,
230,Tokelau,5,,,,,,5,,"3,628",,,,"1,378",Australia/Oceania,276,,,,,"3,628"
231,China,"503,302",,"5,272",,"379,053",,"118,977",N/A,347,4,"160,000,000","110,461","1,448,471,400",Asia,"2,878","274,748",9,,,82
